name,artists,id_artists,release_year,popularity,duration_minutes,key,mode,explicit,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Ayasofya - Saint Sophia,Brian Keane & Omar Faruk Tekbilek,0YF3htY87UKOd5AOQwEuPh,1988,16,3.317333333,Sol,0,0,0.221,0.11,-20.384,0.038,0.956,0.944,0.07,0.044,66.484
180 Grad,Die Toten Hosen,2F8GvYuY0lfZNYu45dY6gJ,1988,22,4.621783333,La,0,0,0.64,0.839,-5.76,0.0355,0.0425,0.00882,0.0746,0.813,130.759
Tannhauser: Overture,Richard Wagner & Slovak Philharmonic & Michael Halasz,1C1x4MVkql8AiABuTw6DgE,1988,31,9.80955,Si,1,0,0.178,0.0419,-20.634,0.0346,0.969,0.924,0.581,0.038,98.013
Ula Ulala,Haustor,7DMfH7r5QiZyjcDPXgKV3Q,1988,23,3.838883333,La(b),1,0,0.502,0.939,-5.591,0.129,0.141,0.000151,0.321,0.537,99.736
"Symphony No. 30 in D Major, K. 202: IV. Presto",Wolfgang Amadeus Mozart & Capella Istropolitana & Barry Wordsworth,4NJhFmfw43RLBLjQvxDuRS,1988,21,3.601116667,La,1,0,0.524,0.0686,-18.185,0.0437,0.944,0.917,0.14,0.464,84.304
Twenty Flight Rock - Remastered 2019,Paul McCartney,4STHEaNw4mPZ2tzheohgXB,1988,28,3.072883333,La,1,0,0.346,0.65,-10.529,0.0484,0.0425,0,0.168,0.863,166.054
Des Mensonges En Musique,Patricia Kaas,4JQHNk6teUNYxC27Bg0UPI,1988,18,4.291116667,La,0,0,0.594,0.497,-12.407,0.0395,0.498,0,0.825,0.441,118.012
"Symphony No. 30 in D Major, K. 202: II. Andantino con moto",Wolfgang Amadeus Mozart & Capella Istropolitana & Barry Wordsworth,4NJhFmfw43RLBLjQvxDuRS,1988,22,4.083333333,La,1,0,0.254,0.0201,-25.906,0.0461,0.97,0.595,0.0836,0.248,87.159
"Peter and the Wolf, Op. 67: Grandfather",David Bowie & Eugene Ormandy,0oSGxfWSnnOXhD2fKuz2Gy,1988,13,2.23,Fa,1,0,0.516,0.0837,-19.688,0.0439,0.863,0.00533,0.679,0.261,87.022
Too Early for the Sky,Johnny Clegg & Savuka,7idPv1alc0mcEhEsKlMV2O,1988,18,4.385116667,Mi(b),1,0,0.613,0.669,-14.894,0.0489,0.0902,0.013,0.0775,0.933,94.86
Als ich fortging,Karussell,3bgksS6BVivqBhDecS8bFK,1989,26,4.172883333,Mi,0,0,0.628,0.102,-21.102,0.0361,0.906,0.0079,0.0999,0.396,105.904
What Am I Gonna Do (I'm so in Love with You),Rod Stewart,2y8Jo9CKhJvtfeKOsYzRdT,1989,26,4.321116667,Mi,1,0,0.66,0.741,-5.949,0.0336,0.00629,1.27E-05,0.159,0.897,124.448
Saturday Night and Sunday Morning - Live 1990,Phil Collins,4lxfqrEsLX6N1N4OCSkILp,1989,26,1.910666667,La(b),1,0,0.442,0.967,-6.336,0.315,0.055,0.811,0.954,0.0813,82.657
Back to the Bullet,Saraya,3ruACf0oMHNYWImFGj10c6,1989,23,3.830666667,Re(b),0,0,0.406,0.779,-8.454,0.0337,0.0261,2.71E-06,0.115,0.47,106.018
"Cello Concerto No. 1 In C Major, Hob.VIIb:1 : II. Adagio",Franz Joseph Haydn & Capella Istropolitana & Ludovit Kanta,656RXuyw7CE0dtjdPgjJV6,1989,26,8.520883333,Fa,1,0,0.144,0.0361,-25.028,0.0518,0.97,0.583,0.251,0.0966,88.753
Crime in the City (Sixty to Zero Pt. I),Neil Young,6v8FB84lnmJs434UJf2Mrm,1989,30,8.747783333,La,0,0,0.72,0.441,-14.957,0.0292,0.148,0.0227,0.088,0.789,134.152
Bushfire,The B-52's,3gdbcIdNypBsYNu3iiCjtN,1989,31,4.95155,Si,0,0,0.479,0.774,-10.152,0.034,0.0155,1.54E-06,0.139,0.682,152.162
Acadie À La Louisiane,Bruce Daigrepont,0qQNMmJlt5ytqzXs28XgRc,1989,12,3.024883333,Sol,1,0,0.536,0.744,-10.745,0.113,0.397,2.90E-06,0.0872,0.973,190.948
Yerbo Moderno,La Sonora Matancera & Celia Cruz,01p7Homi0d4XxZ06f2NYYD,1989,10,2.962883333,Re,1,0,0.788,0.506,-9.925,0.0577,0.8,0.00298,0.0669,0.907,117.78
"Flute Concerto In C Major, RV 443: Largo",Antonio Vivaldi & Capella Istropolitana,2QOIawHpSlOwXDvSqQ9YJR,1989,11,4.166666667,Mi,0,0,0.286,0.208,-14.846,0.0407,0.855,0.602,0.0941,0.172,75.252
Keeping Up With the Joneses,John Williams,3dRfiJ2650SZu6GbydcHNb,1989,22,3.61045,Sol,1,0,0.237,0.301,-11.072,0.0332,0.929,0.918,0.17,0.0962,81.056
"Irgendwie, irgendwo, irgendwann - Special 12"" Dance Mix",Nena,6Tz0QRoe083BcOo2YbG9lV,1989,16,7.25955,Mi,0,0,0.309,0.813,-7.197,0.0485,0.00227,0.00107,0.564,0.41,202.978
Hit & Run,Stranger,6cvKp7TMQoAM4vZpeZcu5q,1989,5,4.86845,Re,0,0,0.58,0.704,-11.947,0.0374,0.00219,0.0886,0.293,0.565,118.189
Im Rausch der Liebe,Nena,6Tz0QRoe083BcOo2YbG9lV,1989,13,3.741116667,Do,0,0,0.656,0.477,-14.146,0.0301,0.17,0,0.0962,0.814,123.996
Too Far Gone,Neil Young,6v8FB84lnmJs434UJf2Mrm,1989,25,2.808883333,Sol,1,0,0.685,0.528,-12.51,0.0251,0.157,0.0226,0.0852,0.75,109.014
Something Happened on the Way to Heaven - Live 2004,Phil Collins,4lxfqrEsLX6N1N4OCSkILp,1989,33,5.437116667,Re,1,0,0.438,0.978,-3.1,0.149,0.0258,1.99E-06,0.997,0.301,116.44
Konkibin' (Concubine),Kassav',3y21aFfQQ1Y9dALQLIJ4vj,1989,9,3.321333333,Fa,1,0,0.669,0.724,-12.503,0.0308,0.00228,0.0506,0.185,0.498,109.004
Terrifying,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,1989,18,4.87445,Re,1,0,0.646,0.818,-8.963,0.0422,0.0555,0.18,0.109,0.942,143.054
Dézodiè,Kassav',3y21aFfQQ1Y9dALQLIJ4vj,1989,12,3.822666667,Sol,1,0,0.781,0.74,-13.01,0.0481,0.00925,0.189,0.0348,0.925,125.987
Apré zouk la (After Zouk),Kassav',3y21aFfQQ1Y9dALQLIJ4vj,1989,13,3.824883333,Do,1,0,0.774,0.806,-12.132,0.0557,0.00551,0.0615,0.276,0.924,129.989
An Mwe (Help!),Kassav',3y21aFfQQ1Y9dALQLIJ4vj,1989,10,4.326216667,La,1,0,0.808,0.633,-13.225,0.0563,0.0462,0.0137,0.0848,0.913,121.001
Continental Drift - Remastered,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,1989,26,5.237783333,Do,0,0,0.326,0.878,-7.672,0.0569,0.0123,0.383,0.307,0.756,127.125
Hang in Long Enough - Live 1997,Phil Collins,4lxfqrEsLX6N1N4OCSkILp,1989,31,4.88045,Si(b),0,0,0.579,0.949,-3.396,0.0517,0.332,4.02E-05,0.991,0.484,118.987
Tori,Yoshikazu Iwamoto,6pjD6LJ3XmCd8CfYaHR5dJ,1989,29,9.546666667,Mi(b),1,0,0.219,0.0149,-25.47,0.0442,0.986,0.0045,0.0791,0.176,71.71
I Would Love To,Steve Vai,32Jb1X3wSmmoHj2epZReZA,1990,32,3.671116667,La,1,0,0.39,0.935,-6.809,0.0556,0.000184,0.863,0.329,0.651,156.206
Wir sind die Gewinner (Pokémon),Anime Allstars,6pHNd7opVLI17k79GvvIAb,1990,22,0.81,Sol,0,0,0.734,0.871,-4.321,0.0854,0.151,0,0.148,0.914,144.991
Bądź częścią mnie,Bajm,1ckVZCWKKoeh5GhtidoU4D,1990,15,3.829333333,Mi,0,0,0.718,0.547,-12.383,0.0485,0.076,0.0043,0.0606,0.844,129.076
Gonna Fly Now - Instrumental,Rocky Orchestra,5Strpt0ddlNJdlzloGjVQT,1990,28,3.883783333,Re,0,0,0.581,0.497,-9.273,0.025,0.134,0.243,0.153,0.202,81.985
Maeo - 2020 Remasterizado,Maná,7okwEbXzyT2VffBmyQBWLz,1990,18,3.97445,Do,1,0,0.724,0.847,-5.672,0.038,0.53,0.000136,0.0372,0.869,80.289
River of Love,Lynch Mob,2K3xysAFpeFSH3DG0zIErf,1990,36,4.374,Sol(b),1,0,0.468,0.873,-8.661,0.0499,9.07E-05,6.15E-05,0.343,0.515,131.537
